Lavone Wanita Dimanche,11 Aug 1912,Walnut Springs
Mendy Eleonora Leukuma,16 Sep 1918,San Acacio
Shirly Cammy Ping,13 Sep 1929,Wildwood
Kimberely Jewel Kazan,7 Apr 1929,Surprise
Synthia Russ Hertzberg,26 Dec 1956,Grand Junction
Melodee Gennie Dibbern,26 Feb 1933,Greenback
Dallas Carma Surkamer,22 Jul 1918,Elizabethtown
Melonie Lesha Crissman,26 Feb 2004,Kensal
Darleen Cori Birdin,2 Feb 1999,Linneus
Jannie Thelma Laland,25 Nov 1994,Riverside
Debbie Becky Camfield,11 Jul 1986,Norphlet
Celinda Cletus Schuepfer,12 Feb 1927,Rochester
Antione Damian Gesner,13 Jul 2003,Kress
Sandee Lilian Amadon,24 Aug 1965,Bellevue
Camilla Shalon Vigorito,12 Oct 1945,Calhan
Oleta Kasey Eisensmith,21 Apr 1952,Middletown
Pinkie Azzie Chesterman,8 Jun 1915,Pen Argyl
Bethany Ralph Yopp,8 Jun 1956,Quantico
Danika Maira Eversman,12 Jun 1926,Scotchtown
Leah Dagny Sartorius,23 Dec 1913,Sterling City
Jaclyn Ilana Martnez,5 Oct 1992,Roseville
Albina Donovan Gundry,9 Aug 1986,Nora
Margaretta Ali Pando,16 Jun 1941,Laclede
Celia Tobias Foye,23 Feb 1998,Millersview
Isadora Latoya Drozdowski,11 Jan 1924,Harrison
Nadene Kizzie Heineken,25 May 1900,Olmstead
Elisa Nannie Lemming,10 Jan 1902,Eau Claire
Monique Vivienne Huguenin,12 Sep 1939,Randolph
Modesta Mi Helt,23 Jan 1969,Oklahoma City
Billy Jewell Weslow,8 Nov 2000,Olmstedville
Tod Oralee Winesberry,4 Jul 2013,Hamilton
Zada Henriette Peal,14 Oct 1962,Lyon
Patricia Mirtha Gaut,5 Nov 1933,Springfield
Karla Dudley Libby,18 Apr 1966,Pitt
Jennette Laverne Spotted,15 Apr 1937,Durham
Otelia Jazmine Arce,9 Feb 1979,Corvallis
Paulette Serena Savickas,26 Aug 1951,Greene
Fabian Hee Olsen,25 Aug 1956,Roseville
Denyse Raphael Burnet,12 Dec 1936,Glassboro
Rachele Camilla Talton,19 Dec 2009,South Boston
Marta Cecila Kroencke,9 Feb 1921,Chicago
Josie Reba Vanhorn,28 Nov 1952,Allen
Treena Jeraldine Liddell,20 Apr 1992,Tallula
Fatima Ying Bakula,22 Oct 1975,Pittsburg
Annika Catherin Borst,20 May 1991,Ashley
Rea Kortney Kawell,26 Jan 1905,East Freetown
Annie Pamula Mandel,19 Dec 1979,Haskins
Beau Wade Voorhees,1 Jun 1957,Raleigh
Laurene Franklin Elliam,19 Jul 1933,Concord
Tonette Lesli Espelien,4 Jun 1912,Rock Falls
Stephania Mitchell Sautner,19 Sep 1973,Maypearl
Carroll Katharyn Zaniboni,7 Feb 1967,Quincy
Kenya Tyron Bolter,11 Jul 1937,Chicago
Isa Dee Brezinka,3 Jul 1986,Chula
Reggie Lorenzo Schikora,27 Apr 1920,Maize
Xiao Georgetta Sneathen,8 May 1961,Cloverdale
Katerine Shila Duplantis,18 Feb 1980,Thomaston
Iliana Brett Marett,20 Mar 1962,Knightdale
Reanna Alane Poucher,4 Dec 1997,Redfield
Keitha Rosalba Kohel,2 Jul 1960,Mandan
Betsey Marleen Harlow,26 Feb 1962,Viking
Lakiesha Sharan Hosendove,5 Jan 1959,Freestone
Estefana Savanna Casarez,13 Apr 1936,Liberty
Otilia Anette Perico,6 Apr 1983,Manila
Elly Felix Gordis,17 Feb 1923,Saginaw
Marian Ilona Filip,9 Aug 1946,Brooklyn
Nathanial Kathaleen Gibert,17 Sep 1906,West Warwick
Joane Keshia Raviscioni,10 Apr 1992,Nicollet
Reynaldo Shawanna Vannah,6 Sep 1939,Leawood
Aurora Kyle Sherburn,11 Nov 1982,Danbury
Mitchel Joesph Michals,25 Aug 1959,Alcova
August Emilie Retzer,25 Dec 1973,Calera
August Emilie Retzer,25 Dec 1902,Calera
Christina Sung Riesgraf,2 Jun 1912,Saint Francis
Efrain Jann Sleaford,19 Jul 1948,Kellyville
Phoebe Kary Zuehl,16 Apr 1952,Clarendon
Phoebe Kary Zuehl,16 Apr 1970,Clarendon
Phoebe Kary Zuehl,16 Apr 1913,Clarendon
Phoebe Kary Zuehl,16 Apr 1913,Saint Francis
Antwan Clyde Lutchman,16 Apr 1922,Clarkton
Niki Beatriz Samul,19 Feb 1947,Island City
Magda Sherice Revis,16 Oct 1953,Stoughton
Jacque Carolyne Honsinger,23 Feb 1983,Steamboat Rock
Larry Modesto Hashbarger,11 Jun 1920,Stamps
Joannie Jena Lasalle,8 May 1940,Patterson
Lucina Hayden Crowe,17 Sep 1961,Chatfield
Tonita Tanna Sabean,14 Aug 1929,Beaumont
Laronda Margarite Hamaker,8 Aug 1987,Huntington
Birdie Emma Stoneberger,12 Feb 1900,Van Buren
Carlene Gertrud Fuerstenberg,24 Dec 1958,Trenton
Denis Gabriella Kallman,3 Aug 2005,Colonial Heights
Leontine Tinisha Splane,3 Dec 1993,Wood River Junct
Chantell Marlin Hanenkrat,16 Oct 2000,Bremond
Vickey Leena Caride,12 Mar 1907,Ashby
Chanda Rickey Woolfrey,6 Jul 1972,Milford
Laveta Sherita Firoozbakht,18 Apr 1911,Teasdale
Jama Velma Nute,19 Nov 1982,Hermosa Beach
Regina Kirsten Napihaa,14 Oct 1946,Orlando
Katharine Erma Gala,17 Sep 2006,Windyville
