Bong Peter Durant, 1 Jul 1951, Marysville
Rob Garfield Comly, 5 Oct 1921, Clifton
Kirsten Andrew Wiede, 11 Jul 1970, Arco
Carmela Nicol Scavetta, 25 May 1940, Tampa
Leslie Shae Dieringer, 23 May 1960, West Saint Paul
Gertrud Letitia Edington, 8 Aug 1940, Pineville
Kristan Hortensia Fredicks, 26 Oct 1964, Maplesville
Kellye Retha Asby, 25 Apr 1906, Bairoil
Renay Vernetta Bonardi, 9 Jun 1901, Spokane
Domenica Ima Ngov, 16 Aug 1939, Kaylor
Candace Jesse Loy, 23 Dec 2006, Jeffersonville
Edie Araceli Lataille, 15 Sep 2011, Alorton
Iola Cherilyn Weckwerth, 27 Jul 1982, Willow Island
Willie Roosevelt Barranger, 6 Apr 1973, Wichita
Deandra Jeramy Carcano, 16 Jan 1961, Salina
Gerda Rico Spanton, 15 Aug 2006, Chandler
Callie Fritz Stable, 1 Jun 1932, Taylors
Jacinda Gia Wyss, 26 Feb 2012, Longmont
Bulah Geraldo Henjes, 12 May 1936, Iona
Lucy Sharolyn Falzarano, 12 Apr 1932, Sorrento
Rosena Jan Slocumb, 10 May 2005, Hanna
Joyce Portia Biehl, 13 Mar 1960, Memphis
Ericka Bethel Lemonds, 1 Nov 1956, Montevallo
Lamont Lorine Zulauf, 4 Jul 1920, Bradenton
Sachiko Max Muhammad, 27 Mar 1984, Orrville
Brigitte Zina Otting, 17 Jun 1947, Bridgman
Madonna Aurea Matarese, 11 Apr 1952, Brownsdale
Lorenza Inger Paponetti, 19 Dec 1992, Sparta
Zoila Sammy Merryman, 7 Jan 1909, Nunda
Brianne Marguerite Maybee, 18 Dec 1915, Danburg
Laurie Lakisha Annala, 19 Aug 1942, Morris
Avis Doretha Heers, 8 Jul 1966, Ulysses
Tilda Eura Hammang, 15 Feb 1924, Rhodes
Lin Alvin Galt, 6 Mar 1924, Randall
Priscilla Chrystal Saleeby, 17 Jul 1972, Charlotte
Rutha Angela Huitron, 2 Jun 1981, Lincolnville
Jewell Felicitas Ghazal, 7 May 1910, Hatley
Stasia Josh Kocurek, 1 May 1961, Lake Wales
Parthenia Reyes Trexel, 27 Oct 2013, Yale
Melda Margarita Torner, 25 Oct 1908, Jonesboro
Louvenia Penelope Devary, 22 Jun 1967, Tahuya
Noel Eliz Caston, 8 Feb 1957, Provo
Stacie Weston Winford, 14 Jun 1988, Condon
Johnie Leota Sisley, 8 Apr 1946, Wenonah
Gia Raquel Krauel, 28 Jul 1931, Penngrove
Luciana Delphine Mientka, 20 Mar 1997, Elmer
Fredric Kelli Scuderi, 10 Mar 1969, Stickney
Ma Lilliana Newcom, 14 Mar 2009, Falkner
Isaiah Argelia Felico, 6 Aug 1977, Knoxville
Eneida Meg Mifsud, 12 May 1998, Linn Grove
Kaye Dirk Bekker, 1 Nov 1902, Worcester
Aurelia Maegan Longstreet, 14 Sep 1999, Danville
Hiroko Patricia Kanady, 6 Jan 1928, Ravenna
Les Giuseppe Leadbetter, 9 Jul 1985, Banner
Karma Candy Martinet, 15 Nov 1998, Canton
Edelmira Jenise Tangerman, 9 Jun 1900, Crescent City
Elayne Jayme Opula, 3 Feb 1926, Cobden
Kristen Ike Rosberg, 25 Dec 1935, Vinson
Gigi Clyde Norrell, 16 Nov 1946, Calvert
Eusebio Nichole Brevo, 9 Dec 1978, Fayetteville
Domenic Meg Gucciardi, 27 Jul 1951, Bruce
Shawana Sallie Stanforth, 10 Feb 1914, Bedford
Carolann Sharell Wiggen, 15 Aug 2000, West Covina
Ardis Ebony Berteau, 10 Jan 1909, Kenai
Libby Concha Clickner, 12 Dec 2012, Olney Springs
Sharonda Jocelyn Minerva, 8 Nov 1914, Bevier
Zoila Catheryn Breault, 2 Oct 1909, Sargentville
Deidra Jay Gregson, 17 Nov 1991, Encampment
Leda Chance Boysel, 17 Jul 1971, Black Mountain S
Carlos Shelly Fennimore, 13 Feb 1966, Boise
Bernard Colene Kochel, 17 Sep 1913, Dover Plains
Tameika Fermina Hue, 16 Dec 1998, Camden
Paige Lucienne Rippeon, 24 Aug 1933, Shallmar
Connie Akilah Plexico, 5 Apr 2011, Lingle
Marlo Cyril Terazes, 14 Mar 1984, Monterey
Ricardo Adrianne Spallone, 19 Nov 2002, Bronx
Tracy Terrell Herting, 8 Apr 1926, El Reno
Kasey Lawana Tranum, 14 Nov 1931, Republic
Muoi Soraya Rumsey, 21 Feb 1967, New Albin
Otilia Jeanice Montayes, 7 Aug 1952, Hilo
Shavonda Chana Kilbourn, 23 Dec 1930, Livermore
Josefina Leeanna Bakios, 20 Oct 1976, West Sayville
Lelah Billye Sobanski, 27 Mar 1951, Plainville
Cinderella Ceola Session, 9 Jan 1943, Ramsey
Sharen Kalyn Brizuela, 12 Feb 1908, Chattaroy
Ruthann Dusty Defrates, 2 May 1968, Welcome
Deandre Minna Borlin, 5 May 1967, Otisco
Russ Chadwick Forkey, 17 Nov 2002, San Jose
Cicely Selina Rusiecki, 24 Jul 1904, Paauilo
Marlin Rafaela Jeanneret, 2 Feb 1911, West Liberty
Jocelyn Leisa Piccone, 3 May 1913, Cholame
Deanne France Raiche, 4 Feb 1998, Peru
Reita Jerri Giaquinta, 28 Apr 1908, Sheridan
Ester Mamie Maheu, 16 Apr 1901, Eagleville
Jonell Augustine Ellerman, 7 Aug 1914, Biggs
Phyllis Pat Scoble, 11 Jan 1900, Omaha
Jorge Eleonore Sementilli, 10 Aug 2014, Savannah
Arla Charolette Unglesbee, 12 Feb 2009, Washington
Flor Marita Lyday, 17 Mar 1909, Jacksonville
Larae Mitsuko Wandel, 21 Aug 1985, Columbus
Rikki Tora Steltzer, 5 Oct 1915, Marysville
Enoch Gayle Aslanian, 12 Aug 1985, Fort Myers
Jamie Slyvia Knill, 23 Aug 1939, Babson Park
Natalya Reggie Quercia, 2 Dec 1902, Tobyhanna
Augusta Drema Hilborn, 4 Apr 1957, Rockford
Retta Eldora Cavalero, 28 Oct 1956, Hesperia
Hilario Napoleon Agurs, 13 May 1979, Cartersville
Devin Luetta Leghorn, 14 May 1982, Kenduskeag
Alphonse Evan Nery, 12 Aug 1914, West Swanzey
Angelika Jocelyn Neubacher, 15 Apr 1975, Metairie
Tynisha Carri Minelli, 24 Apr 1939, Buffalo
Arnita Avis Vessey, 23 Aug 1931, Merricourt
Collette Jessie Nored, 18 Feb 1902, Warren
Tawanda Zetta Salafia, 3 Dec 1950, Cedarville
Tyrell Opal Delligatti, 14 Dec 1942, Mars Hill
Kraig Jimmy Hempel, 8 Sep 1937, Union City
Breann Theressa Srnsky, 6 Jan 1905, Baton Rouge
Zoraida Rudolph Fitzmorris, 19 Nov 1919, Faribault
Viva Nettie Landacre, 12 Jan 1998, Roseburg
Elke Allison Boals, 19 Jan 1912, Des Lacs
Rocio Tanisha Hood, 2 Jan 1954, Johnsonville
Savanna Tosha Gorovitz, 17 May 2010, Dry Branch
Lilliana Betsy Kafka, 17 Oct 1999, Torrey
Mee Sierra Zuwkowski, 17 May 1917, Calistoga
Hortencia Brittny Flamenco, 24 Aug 2006, Mountain Dale
Catheryn Shelly Holbert, 16 Mar 1926, Cedar River
Ethyl Miles Teque, 12 May 1981, Victor
Racheal Evangeline Farfan, 12 Nov 1954, Selma
Reyes Yuk Torrion, 23 Jun 1927, Chester
Fabiola Erna Clamp, 4 Apr 1988, Inwood
Charley Francis Bofinger, 27 Jul 1960, Corning
Chris Anja Dunnaville, 7 May 1944, Westlake
Dessie Justin Heberly, 26 Jun 1991, Lake City
Eliza Elli Dudasik, 3 Apr 1926, Highlandville
Melodee Marielle Kiss, 2 Jan 1971, Panorama Village
Kasey Faustino Kenimer, 9 Jun 2004, Anchorage
Hilary Carlie Obannon, 22 Mar 1920, Bonnieville
Mikki Tinisha Wigglesworth, 16 May 1901, Antimony
Caroyln Lang Feldmann, 2 Feb 1974, Cedar Grove
Anthony Latina Decaen, 18 Aug 1961, Albertville
Chung Kacey Turne, 22 Apr 1958, Boswell
Mae Joanna Gagarin, 22 Aug 1958, Meadville
Gabriel Pamala Buckley, 5 Apr 1983, Basalt
Leesa Christy Bertinetti, 13 Feb 1921, Omaha
Tanya Maurice Varnum, 10 Sep 1923, Gould
Mira Xiao Degeare, 4 Nov 1904, Miami
Sudie Magdalen Stonebraker, 18 Sep 1935, Lafontaine
Laverna Sammy Paparello, 18 Mar 1995, Conway
Janetta Johnnie Regueira, 1 Feb 1923, Ruby Valley
Monroe Julianna Lantigua, 2 Nov 1945, Pinola
Kellee Son Wrye, 27 Sep 1961, Stinnett
Karol Gudrun Shirts, 19 Sep 2003, Smyrna
Charity Bridgett Bellefontaine, 28 Jul 1954, Port Carbon
Loni Alysa Backers, 26 Sep 1912, Plantation
Myron Delicia Schnider, 12 Mar 1959, Blue Rock
John Margit Alipio, 26 Apr 1940, Closter
Dalene Billy Kissel, 22 May 1980, East Elmhurst
Mike Rebekah Skutnik, 8 Dec 1978, Wolf Point
Loura Ignacia Dutt, 11 Jul 1954, Greensboro
Kayce Violet Sulkowski, 22 Jan 2013, Aloha
Daryl Maribel Boyens, 13 Jan 1936, Greenville
Kristle Lucile Andersson, 5 Jan 2010, Baldwin
Virgie Jeff Crittle, 19 May 1915, Dallas
Marlo Donny Dacamara, 5 Apr 1969, Newburg
Yon Brandon Mostella, 26 Oct 1977, Alvo
Charmain Tisha Soderstrom, 1 Oct 1944, Green Bank
Jeanne Augusta Stroth, 27 Sep 1961, Pleasant Hill
Liliana Luigi Manfre, 22 Sep 2009, Lutsen
Kristan Kit Raczynski, 22 Sep 1901, Tekonsha
Susy Dustin Popovich, 18 Mar 1992, Danville
Rich Tresa Cast, 18 Jan 1945, Victoria
Hank Romelia Pawlik, 3 Jan 2012, Finley
Rena Ashanti Padavich, 26 Mar 1970, Avon
Stanton Sherryl Roupe, 8 Oct 1913, Hopewell
Launa Elfriede Goral, 25 Oct 1918, Wilson
Lane Madalene Maxie, 1 Dec 1919, Goodland
Brett Alda Odore, 21 Feb 1958, Columbus
Christopher Jacquelyn Edland, 13 Apr 1932, Niles
Krista Karrie Hinke, 19 Jun 2012, Bridgeport
Seema Tommy Migneault, 2 Jul 2010, Almont
Tarah Taylor Sheaman, 26 Aug 1901, Lyndonville
Patricia Jerald Woodmore, 4 Mar 1962, Pleasant View
Temple Tom Olcus, 11 Mar 1905, Wethersfield
Olene Chana Rilley, 7 May 1964, Fish Haven
Sherrill Sommer Duriga, 9 Dec 1973, Warwick
Spring Heriberto Chernick, 8 Jun 1917, Laurel
Marcia Elissa Kreatsoulas, 13 Mar 2001, Smithfield
Sulema Jude Altken, 10 Apr 1974, Steep Falls
Florence Laurena Trabold, 18 Mar 1975, Milwaukee
Meri Deidra Wachowski, 7 Nov 1949, Dowagiac
Rudy Shannan Comrie, 10 Feb 1933, Walton
Karan Hai Wiersma, 28 Aug 1938, Independence
Denisha Cristy Reighard, 24 Mar 1934, Addis
Kenneth Kaylene Dickins, 7 May 1903, Haines
Levi Janet Mousley, 3 Sep 1986, Lyons
Evia Veronique Broglio, 16 Mar 1959, Garland City
Nicol Shavonda Coppler, 18 Jan 1959, Wayne
Karoline Thanh Gabri, 6 Nov 1943, Erving
Randell Sang Rivera, 20 Apr 1940, Mill Spring
Lala Kerstin Dombrosky, 23 Jan 1934, East Carbon
Jessia Delicia Worton, 2 Jul 1998, Brighton
Sharita Sandy Siever, 6 Aug 2003, Austin
Morgan Brice Villafuerte, 5 May 2008, Dayton
Kaye Katheryn Bohmann, 28 Nov 2012, Mableton
Leana Trena Edgman, 6 May 1969, Zortman
Tawanna Kieth Lugardo, 7 Jun 1995, Eatonville
Alexandra Julie Woltjer, 23 Jul 1986, Fort Walton Beac
Hunter Bette Storti, 11 Apr 1982, Moriah Center
Maudie Barry Prada, 22 Jun 2008, Granville
Sam Tajuana Deinhardt, 19 Feb 1927, Ellis
Kimi Sylvia Radulescu, 2 Feb 2006, Salyer
Tracie Rayford Whack, 17 Mar 1974, Bethel
Kyung Jayme Lubow, 25 Oct 1932, Casstown
Eusebia Jerald Saffo, 19 Oct 2000, Berwyn
Lue Rosendo Hynson, 19 Jun 2014, Anniston
Kami Isis Mitchener, 21 May 1952, Nicholls
Phillis Brianna Salas, 15 May 1941, Arona
Tom Marilou Sequeira, 18 May 1962, Pearson
Cesar Jaimee Onorati, 14 Oct 1967, Toms Place
Carmon Willene Salimi, 28 Mar 1978, Rochester
Franklin Carlee Sparks, 1 May 1962, Barton
